language,parameter_id,parameter_name,value_number,value_name
Sanuma,85A,Order of Adposition and Noun Phrase,1,Postpositions
Shiriana,81A,"Order of Subject, Object and Verb",1,SOV
Shiriana,85A,Order of Adposition and Noun Phrase,1,Postpositions
Miskito,81A,"Order of Subject, Object and Verb",1,SOV
Miskito,85A,Order of Adposition and Noun Phrase,1,Postpositions
Rama,81A,"Order of Subject, Object and Verb",1,SOV
Rama,85A,Order of Adposition and Noun Phrase,1,Postpositions
Bribri,81A,"Order of Subject, Object and Verb",1,SOV
Bribri,85A,Order of Adposition and Noun Phrase,1,Postpositions
Ngäbere,81A,"Order of Subject, Object and Verb",1,SOV
Ngäbere,85A,Order of Adposition and Noun Phrase,1,Postpositions
Ika,81A,"Order of Subject, Object and Verb",1,SOV
Ika,85A,Order of Adposition and Noun Phrase,1,Postpositions
Itonama,81A,"Order of Subject, Object and Verb",2,SVO
Warao,85A,Order of Adposition and Noun Phrase,1,Postpositions
Pirahã,81A,"Order of Subject, Object and Verb",1,SOV
Pirahã,85A,Order of Adposition and Noun Phrase,1,Postpositions
Emberá (Northern),85A,Order of Adposition and Noun Phrase,1,Postpositions
Epena Pedee,81A,"Order of Subject, Object and Verb",1,SOV
Epena Pedee,85A,Order of Adposition and Noun Phrase,1,Postpositions
Páez,81A,"Order of Subject, Object and Verb",1,SOV
Páez,85A,Order of Adposition and Noun Phrase,1,Postpositions
Awa Pit,81A,"Order of Subject, Object and Verb",1,SOV
Awa Pit,85A,Order of Adposition and Noun Phrase,1,Postpositions
Cayapa,81A,"Order of Subject, Object and Verb",1,SOV
Waorani,81A,"Order of Subject, Object and Verb",1,SOV
Waorani,85A,Order of Adposition and Noun Phrase,1,Postpositions
Jebero,81A,"Order of Subject, Object and Verb",7,No dominant order
Zaparo,81A,"Order of Subject, Object and Verb",2,SVO
Iquito,81A,"Order of Subject, Object and Verb",2,SVO
Iquito,85A,Order of Adposition and Noun Phrase,1,Postpositions
Quechua (Imbabura),81A,"Order of Subject, Object and Verb",1,SOV
Quechua (Imbabura),85A,Order of Adposition and Noun Phrase,1,Postpositions
Aymara (Central),81A,"Order of Subject, Object and Verb",1,SOV
Aymara (Central),85A,Order of Adposition and Noun Phrase,1,Postpositions
Qawasqar,85A,Order of Adposition and Noun Phrase,1,Postpositions
Selknam,81A,"Order of Subject, Object and Verb",5,OVS
Selknam,85A,Order of Adposition and Noun Phrase,1,Postpositions
Ticuna,81A,"Order of Subject, Object and Verb",7,No dominant order
Nambikuára (Southern),81A,"Order of Subject, Object and Verb",1,SOV
Tucano,85A,Order of Adposition and Noun Phrase,1,Postpositions
Tuyuca,81A,"Order of Subject, Object and Verb",1,SOV
Tuyuca,85A,Order of Adposition and Noun Phrase,1,Postpositions
Barasano,81A,"Order of Subject, Object and Verb",7,No dominant order
Barasano,85A,Order of Adposition and Noun Phrase,1,Postpositions
Koreguaje,81A,"Order of Subject, Object and Verb",3,VSO
Koreguaje,85A,Order of Adposition and Noun Phrase,1,Postpositions
Cayuvava,81A,"Order of Subject, Object and Verb",4,VOS
Cayuvava,85A,Order of Adposition and Noun Phrase,2,Prepositions
Trumai,81A,"Order of Subject, Object and Verb",7,No dominant order
Trumai,85A,Order of Adposition and Noun Phrase,1,Postpositions
Sáliba (in Colombia),85A,Order of Adposition and Noun Phrase,1,Postpositions
Candoshi,81A,"Order of Subject, Object and Verb",1,SOV
Jivaro,81A,"Order of Subject, Object and Verb",1,SOV
Kipea,85A,Order of Adposition and Noun Phrase,2,Prepositions
Gavião,85A,Order of Adposition and Noun Phrase,1,Postpositions
Karó (Arára),81A,"Order of Subject, Object and Verb",1,SOV
Karó (Arára),85A,Order of Adposition and Noun Phrase,1,Postpositions
Mekens,81A,"Order of Subject, Object and Verb",1,SOV
Mekens,85A,Order of Adposition and Noun Phrase,1,Postpositions
Guajajara,81A,"Order of Subject, Object and Verb",3,VSO
Guajajara,85A,Order of Adposition and Noun Phrase,1,Postpositions
Asuriní,81A,"Order of Subject, Object and Verb",5,OVS
Asuriní,85A,Order of Adposition and Noun Phrase,1,Postpositions
Urubú-Kaapor,81A,"Order of Subject, Object and Verb",1,SOV
Urubú-Kaapor,85A,Order of Adposition and Noun Phrase,1,Postpositions
Guaraní,81A,"Order of Subject, Object and Verb",2,SVO
Guaraní,85A,Order of Adposition and Noun Phrase,1,Postpositions
Wayampi,81A,"Order of Subject, Object and Verb",1,SOV
Wayampi,85A,Order of Adposition and Noun Phrase,1,Postpositions
Cocama,81A,"Order of Subject, Object and Verb",2,SVO
Cocama,85A,Order of Adposition and Noun Phrase,1,Postpositions
Mundurukú,81A,"Order of Subject, Object and Verb",1,SOV
Mundurukú,85A,Order of Adposition and Noun Phrase,1,Postpositions
Sirionó,81A,"Order of Subject, Object and Verb",1,SOV
Sirionó,85A,Order of Adposition and Noun Phrase,1,Postpositions
Guahibo,81A,"Order of Subject, Object and Verb",1,SOV
Guahibo,85A,Order of Adposition and Noun Phrase,1,Postpositions
Cuiba,81A,"Order of Subject, Object and Verb",1,SOV
Paumarí,85A,Order of Adposition and Noun Phrase,1,Postpositions
Apurinã,81A,"Order of Subject, Object and Verb",2,SVO
Apurinã,85A,Order of Adposition and Noun Phrase,1,Postpositions
Piro,81A,"Order of Subject, Object and Verb",1,SOV
Campa (Axininca),81A,"Order of Subject, Object and Verb",7,No dominant order
Campa (Axininca),85A,Order of Adposition and Noun Phrase,5,No adpositions
Baure,81A,"Order of Subject, Object and Verb",4,VOS
Ignaciano,85A,Order of Adposition and Noun Phrase,2,Prepositions
Palikur,81A,"Order of Subject, Object and Verb",2,SVO
Palikur,85A,Order of Adposition and Noun Phrase,2,Prepositions
Garífuna,81A,"Order of Subject, Object and Verb",3,VSO
Garífuna,85A,Order of Adposition and Noun Phrase,2,Prepositions
Resígaro,81A,"Order of Subject, Object and Verb",1,SOV
Resígaro,85A,Order of Adposition and Noun Phrase,1,Postpositions
Achagua,81A,"Order of Subject, Object and Verb",2,SVO
Achagua,85A,Order of Adposition and Noun Phrase,1,Postpositions
Goajiro,81A,"Order of Subject, Object and Verb",3,VSO
Goajiro,85A,Order of Adposition and Noun Phrase,2,Prepositions
Lokono,81A,"Order of Subject, Object and Verb",2,SVO
Lokono,85A,Order of Adposition and Noun Phrase,1,Postpositions
Iranxe,81A,"Order of Subject, Object and Verb",1,SOV
Tariana,81A,"Order of Subject, Object and Verb",1,SOV
Tariana,85A,Order of Adposition and Noun Phrase,1,Postpositions
Wari',81A,"Order of Subject, Object and Verb",4,VOS
Wari',85A,Order of Adposition and Noun Phrase,2,Prepositions
Yagua,81A,"Order of Subject, Object and Verb",7,No dominant order
Yagua,85A,Order of Adposition and Noun Phrase,1,Postpositions
Andoke,85A,Order of Adposition and Noun Phrase,1,Postpositions
Huitoto (Murui),81A,"Order of Subject, Object and Verb",1,SOV
Huitoto (Murui),85A,Order of Adposition and Noun Phrase,1,Postpositions
Huitoto (Minica),81A,"Order of Subject, Object and Verb",1,SOV
Carib,81A,"Order of Subject, Object and Verb",1,SOV
Carib,85A,Order of Adposition and Noun Phrase,1,Postpositions
Carib (De'kwana),81A,"Order of Subject, Object and Verb",1,SOV
Carib (De'kwana),85A,Order of Adposition and Noun Phrase,1,Postpositions
Apalaí,81A,"Order of Subject, Object and Verb",7,No dominant order
Apalaí,85A,Order of Adposition and Noun Phrase,1,Postpositions
Macushi,81A,"Order of Subject, Object and Verb",7,No dominant order
Macushi,85A,Order of Adposition and Noun Phrase,1,Postpositions
Hixkaryana,81A,"Order of Subject, Object and Verb",5,OVS
Hixkaryana,85A,Order of Adposition and Noun Phrase,1,Postpositions
Mosetén,81A,"Order of Subject, Object and Verb",2,SVO
Abipón,81A,"Order of Subject, Object and Verb",2,SVO
Abipón,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kadiwéu,81A,"Order of Subject, Object and Verb",2,SVO
Kadiwéu,85A,Order of Adposition and Noun Phrase,5,No adpositions
Wichí,81A,"Order of Subject, Object and Verb",2,SVO
Wichí,85A,Order of Adposition and Noun Phrase,2,Prepositions
Chácobo,81A,"Order of Subject, Object and Verb",7,No dominant order
Chácobo,85A,Order of Adposition and Noun Phrase,1,Postpositions
Amahuaca,81A,"Order of Subject, Object and Verb",7,No dominant order
Amahuaca,85A,Order of Adposition and Noun Phrase,1,Postpositions
Yaminahua,81A,"Order of Subject, Object and Verb",1,SOV
Sharanahua,81A,"Order of Subject, Object and Verb",1,SOV
Sharanahua,85A,Order of Adposition and Noun Phrase,1,Postpositions
Cashibo,81A,"Order of Subject, Object and Verb",1,SOV
Cashibo,85A,Order of Adposition and Noun Phrase,1,Postpositions
Shipibo-Konibo,81A,"Order of Subject, Object and Verb",1,SOV
Shipibo-Konibo,85A,Order of Adposition and Noun Phrase,1,Postpositions
Ese Ejja,81A,"Order of Subject, Object and Verb",1,SOV
Ese Ejja,85A,Order of Adposition and Noun Phrase,1,Postpositions
Araona,85A,Order of Adposition and Noun Phrase,1,Postpositions
Tacana,81A,"Order of Subject, Object and Verb",7,No dominant order
Tacana,85A,Order of Adposition and Noun Phrase,1,Postpositions
Rikbaktsa,81A,"Order of Subject, Object and Verb",1,SOV
Rikbaktsa,85A,Order of Adposition and Noun Phrase,1,Postpositions
Fulniô,85A,Order of Adposition and Noun Phrase,1,Postpositions
Kaingang,81A,"Order of Subject, Object and Verb",1,SOV
Kaingang,85A,Order of Adposition and Noun Phrase,1,Postpositions
Xavánte,85A,Order of Adposition and Noun Phrase,1,Postpositions
Apinayé,81A,"Order of Subject, Object and Verb",1,SOV
Apinayé,85A,Order of Adposition and Noun Phrase,1,Postpositions
Kayapó,81A,"Order of Subject, Object and Verb",1,SOV
Krahô,81A,"Order of Subject, Object and Verb",1,SOV
Krahô,85A,Order of Adposition and Noun Phrase,1,Postpositions
Canela,81A,"Order of Subject, Object and Verb",1,SOV
Canela,85A,Order of Adposition and Noun Phrase,1,Postpositions
Ndyuka,81A,"Order of Subject, Object and Verb",2,SVO
Ndyuka,85A,Order of Adposition and Noun Phrase,2,Prepositions
Kyaka,81A,"Order of Subject, Object and Verb",1,SOV
Kyaka,85A,Order of Adposition and Noun Phrase,1,Postpositions
Lega,81A,"Order of Subject, Object and Verb",2,SVO
Cakchiquel,81A,"Order of Subject, Object and Verb",4,VOS
Quechua (Huallaga),81A,"Order of Subject, Object and Verb",1,SOV
Quechua (Huallaga),85A,Order of Adposition and Noun Phrase,1,Postpositions
Makaa,81A,"Order of Subject, Object and Verb",2,SVO
Gaagudju,85A,Order of Adposition and Noun Phrase,1,Postpositions
Noon,81A,"Order of Subject, Object and Verb",2,SVO
Noon,85A,Order of Adposition and Noun Phrase,2,Prepositions
Nubian (Dongolese),81A,"Order of Subject, Object and Verb",1,SOV
Nubian (Dongolese),85A,Order of Adposition and Noun Phrase,1,Postpositions
Nubian (Kunuz),81A,"Order of Subject, Object and Verb",1,SOV
Bera,81A,"Order of Subject, Object and Verb",2,SVO
Bera,85A,Order of Adposition and Noun Phrase,2,Prepositions
Basaá,81A,"Order of Subject, Object and Verb",2,SVO
Basaá,85A,Order of Adposition and Noun Phrase,2,Prepositions
