language,parameter_id,parameter_name,value_number,value_name
Abipón,49A,Number of Cases,1,No morphological case-marking
Abkhaz,49A,Number of Cases,2,2 cases
Acoma,49A,Number of Cases,1,No morphological case-marking
Ainu,49A,Number of Cases,9,Exclusively borderline case-marking
Alamblak,49A,Number of Cases,7,8-9 cases
Albanian,49A,Number of Cases,4,4 cases
Aleut,49A,Number of Cases,2,2 cases
Amele,49A,Number of Cases,1,No morphological case-marking
Amharic,49A,Number of Cases,2,2 cases
Amuesha,49A,Number of Cases,9,Exclusively borderline case-marking
Apurinã,49A,Number of Cases,9,Exclusively borderline case-marking
Arabela,49A,Number of Cases,7,8-9 cases
Arabic (Egyptian),49A,Number of Cases,1,No morphological case-marking
Araona,49A,Number of Cases,5,5 cases
Armenian (Eastern),49A,Number of Cases,5,5 cases
Asmat,49A,Number of Cases,1,No morphological case-marking
Awa Pit,49A,Number of Cases,8,10 or more cases
Aymara (Central),49A,Number of Cases,6,6-7 cases
Bagirmi,49A,Number of Cases,1,No morphological case-marking
Bambara,49A,Number of Cases,1,No morphological case-marking
Barasano,49A,Number of Cases,2,2 cases
Basque,49A,Number of Cases,8,10 or more cases
Bawm,49A,Number of Cases,4,4 cases
Beja,49A,Number of Cases,2,2 cases
Bengali (Chittagong),49A,Number of Cases,6,6-7 cases
Brahui,49A,Number of Cases,8,10 or more cases
Bribri,49A,Number of Cases,9,Exclusively borderline case-marking
Arapesh (Mountain),49A,Number of Cases,1,No morphological case-marking
Bulgarian,49A,Number of Cases,1,No morphological case-marking
Burmese,49A,Number of Cases,7,8-9 cases
Burushaski,49A,Number of Cases,7,8-9 cases
Cahuilla,49A,Number of Cases,5,5 cases
Khmer,49A,Number of Cases,1,No morphological case-marking
Canela,49A,Number of Cases,1,No morphological case-marking
Carib,49A,Number of Cases,1,No morphological case-marking
Catalan,49A,Number of Cases,1,No morphological case-marking
Cayuvava,49A,Number of Cases,9,Exclusively borderline case-marking
Chamorro,49A,Number of Cases,1,No morphological case-marking
Chinantec (Lealao),49A,Number of Cases,1,No morphological case-marking
Mandarin,49A,Number of Cases,1,No morphological case-marking
Chukchi,49A,Number of Cases,8,10 or more cases
Chumash (Barbareño),49A,Number of Cases,1,No morphological case-marking
Chuvash,49A,Number of Cases,6,6-7 cases
Comanche,49A,Number of Cases,3,3 cases
Cree (Plains),49A,Number of Cases,9,Exclusively borderline case-marking
Daga,49A,Number of Cases,9,Exclusively borderline case-marking
Dani (Lower Grand Valley),49A,Number of Cases,6,6-7 cases
Diola-Fogny,49A,Number of Cases,1,No morphological case-marking
Dong (Southern),49A,Number of Cases,1,No morphological case-marking
Drehu,49A,Number of Cases,1,No morphological case-marking
Dutch,49A,Number of Cases,1,No morphological case-marking
Dyirbal,49A,Number of Cases,6,6-7 cases
Ekari,49A,Number of Cases,9,Exclusively borderline case-marking
English,49A,Number of Cases,2,2 cases
Epena Pedee,49A,Number of Cases,8,10 or more cases
Estonian,49A,Number of Cases,8,10 or more cases
Evenki,49A,Number of Cases,8,10 or more cases
Ewe,49A,Number of Cases,1,No morphological case-marking
Fijian,49A,Number of Cases,1,No morphological case-marking
Finnish,49A,Number of Cases,8,10 or more cases
French,49A,Number of Cases,1,No morphological case-marking
Frisian (Western),49A,Number of Cases,1,No morphological case-marking
Fur,49A,Number of Cases,4,4 cases
Garo,49A,Number of Cases,7,8-9 cases
Georgian,49A,Number of Cases,6,6-7 cases
German,49A,Number of Cases,4,4 cases
Gimira,49A,Number of Cases,6,6-7 cases
Gooniyandi,49A,Number of Cases,8,10 or more cases
Grebo,49A,Number of Cases,1,No morphological case-marking
Greek (Modern),49A,Number of Cases,3,3 cases
Greenlandic (West),49A,Number of Cases,7,8-9 cases
Guaraní,49A,Number of Cases,1,No morphological case-marking
Haida,49A,Number of Cases,1,No morphological case-marking
Coos (Hanis),49A,Number of Cases,7,8-9 cases
Hausa,49A,Number of Cases,1,No morphological case-marking
Hebrew (Modern),49A,Number of Cases,1,No morphological case-marking
Hixkaryana,49A,Number of Cases,1,No morphological case-marking
Hmong Njua,49A,Number of Cases,1,No morphological case-marking
Hua,49A,Number of Cases,7,8-9 cases
Huave (San Mateo del Mar),49A,Number of Cases,1,No morphological case-marking
Hungarian,49A,Number of Cases,8,10 or more cases
Hunzib,49A,Number of Cases,8,10 or more cases
Iaai,49A,Number of Cases,1,No morphological case-marking
Icelandic,49A,Number of Cases,4,4 cases
Igbo,49A,Number of Cases,1,No morphological case-marking
Ika,49A,Number of Cases,6,6-7 cases
Ilocano,49A,Number of Cases,1,No morphological case-marking
Imonda,49A,Number of Cases,5,5 cases
Indonesian,49A,Number of Cases,1,No morphological case-marking
Ingush,49A,Number of Cases,8,10 or more cases
Iraqw,49A,Number of Cases,9,Exclusively borderline case-marking
Irish,49A,Number of Cases,2,2 cases
Italian,49A,Number of Cases,1,No morphological case-marking
Jakaltek,49A,Number of Cases,1,No morphological case-marking
Japanese,49A,Number of Cases,7,8-9 cases
Ju|'hoan,49A,Number of Cases,1,No morphological case-marking
Kala Lagaw Ya,49A,Number of Cases,7,8-9 cases
Kalispel,49A,Number of Cases,6,6-7 cases
Kannada,49A,Number of Cases,6,6-7 cases
Kanuri,49A,Number of Cases,6,6-7 cases
Hamtai,49A,Number of Cases,8,10 or more cases
Batak (Karo),49A,Number of Cases,1,No morphological case-marking
Karok,49A,Number of Cases,3,3 cases
Kashmiri,49A,Number of Cases,4,4 cases
Qawasqar,49A,Number of Cases,2,2 cases
Kayah Li (Eastern),49A,Number of Cases,1,No morphological case-marking
Kayardild,49A,Number of Cases,8,10 or more cases
Kera,49A,Number of Cases,9,Exclusively borderline case-marking
Ket,49A,Number of Cases,8,10 or more cases
Kewa,49A,Number of Cases,6,6-7 cases
Khalkha,49A,Number of Cases,7,8-9 cases
Khanty,49A,Number of Cases,3,3 cases
Khasi,49A,Number of Cases,1,No morphological case-marking
Khmu',49A,Number of Cases,1,No morphological case-marking
Kilivila,49A,Number of Cases,1,No morphological case-marking
Kinyarwanda,49A,Number of Cases,1,No morphological case-marking
Kiowa,49A,Number of Cases,9,Exclusively borderline case-marking
Kiribati,49A,Number of Cases,1,No morphological case-marking
Koasati,49A,Number of Cases,6,6-7 cases
Kobon,49A,Number of Cases,1,No morphological case-marking
Kombai,49A,Number of Cases,1,No morphological case-marking
Kongo,49A,Number of Cases,1,No morphological case-marking
Korean,49A,Number of Cases,6,6-7 cases
Koromfe,49A,Number of Cases,1,No morphological case-marking
Krongo,49A,Number of Cases,6,6-7 cases
Kunama,49A,Number of Cases,6,6-7 cases
Kosraean,49A,Number of Cases,1,No morphological case-marking
Kutenai,49A,Number of Cases,1,No morphological case-marking
Ladakhi,49A,Number of Cases,5,5 cases
Lak,49A,Number of Cases,8,10 or more cases
Lakhota,49A,Number of Cases,1,No morphological case-marking
Lango,49A,Number of Cases,1,No morphological case-marking
Latvian,49A,Number of Cases,5,5 cases
Lavukaleve,49A,Number of Cases,1,No morphological case-marking
Lepcha,49A,Number of Cases,2,2 cases
Lezgian,49A,Number of Cases,8,10 or more cases
Lithuanian,49A,Number of Cases,6,6-7 cases
Luvale,49A,Number of Cases,1,No morphological case-marking
Maba,49A,Number of Cases,3,3 cases
Madurese,49A,Number of Cases,1,No morphological case-marking
Makah,49A,Number of Cases,1,No morphological case-marking
Malagasy,49A,Number of Cases,1,No morphological case-marking
Malakmalak,49A,Number of Cases,6,6-7 cases
Malayalam,49A,Number of Cases,6,6-7 cases
Mangarrayi,49A,Number of Cases,7,8-9 cases
Maori,49A,Number of Cases,1,No morphological case-marking
Mapudungun,49A,Number of Cases,2,2 cases
Maranungku,49A,Number of Cases,9,Exclusively borderline case-marking
Marathi,49A,Number of Cases,5,5 cases
Maricopa,49A,Number of Cases,6,6-7 cases
Marind,49A,Number of Cases,1,No morphological case-marking
Martuthunira,49A,Number of Cases,8,10 or more cases
Wichí,49A,Number of Cases,1,No morphological case-marking
Maung,49A,Number of Cases,1,No morphological case-marking
Maybrat,49A,Number of Cases,2,2 cases
Meithei,49A,Number of Cases,6,6-7 cases
Miwok (Southern Sierra),49A,Number of Cases,6,6-7 cases
Mixtec (Chalcatongo),49A,Number of Cases,1,No morphological case-marking
Mokilese,49A,Number of Cases,1,No morphological case-marking
Mordvin (Erzya),49A,Number of Cases,8,10 or more cases
Mundari,49A,Number of Cases,7,8-9 cases
Murle,49A,Number of Cases,4,4 cases
Nahuatl (Tetelcingo),49A,Number of Cases,1,No morphological case-marking
Nama,49A,Number of Cases,2,2 cases
Navajo,49A,Number of Cases,1,No morphological case-marking
Ndyuka,49A,Number of Cases,1,No morphological case-marking
Nenets,49A,Number of Cases,6,6-7 cases
Nez Perce,49A,Number of Cases,8,10 or more cases
Ngiti,49A,Number of Cases,1,No morphological case-marking
Ngiyambaa,49A,Number of Cases,5,5 cases
Nivkh,49A,Number of Cases,7,8-9 cases
Nkore-Kiga,49A,Number of Cases,1,No morphological case-marking
Nubian (Dongolese),49A,Number of Cases,6,6-7 cases
Nunggubuyu,49A,Number of Cases,8,10 or more cases
Oneida,49A,Number of Cases,1,No morphological case-marking
Oromo (Harar),49A,Number of Cases,6,6-7 cases
Otomí (Sierra),49A,Number of Cases,1,No morphological case-marking
Paamese,49A,Number of Cases,1,No morphological case-marking
Páez,49A,Number of Cases,6,6-7 cases
Paiwan,49A,Number of Cases,1,No morphological case-marking
Palauan,49A,Number of Cases,1,No morphological case-marking
Pashto,49A,Number of Cases,3,3 cases
Passamaquoddy-Maliseet,49A,Number of Cases,9,Exclusively borderline case-marking
Paumarí,49A,Number of Cases,3,3 cases
Persian,49A,Number of Cases,2,2 cases
Pirahã,49A,Number of Cases,9,Exclusively borderline case-marking
Pitjantjatjara,49A,Number of Cases,8,10 or more cases
Polish,49A,Number of Cases,6,6-7 cases
Pomo (Southeastern),49A,Number of Cases,6,6-7 cases
Panjabi,49A,Number of Cases,2,2 cases
Quechua (Imbabura),49A,Number of Cases,7,8-9 cases
Rama,49A,Number of Cases,7,8-9 cases
Rapanui,49A,Number of Cases,1,No morphological case-marking
Romani (Kalderash),49A,Number of Cases,6,6-7 cases
Romanian,49A,Number of Cases,2,2 cases
Russian,49A,Number of Cases,6,6-7 cases
Saami (Northern),49A,Number of Cases,6,6-7 cases
Sango,49A,Number of Cases,1,No morphological case-marking
Sanuma,49A,Number of Cases,2,2 cases
Selknam,49A,Number of Cases,9,Exclusively borderline case-marking
Semelai,49A,Number of Cases,3,3 cases
Sentani,49A,Number of Cases,1,No morphological case-marking
Serbian-Croatian,49A,Number of Cases,5,5 cases
Shipibo-Konibo,49A,Number of Cases,6,6-7 cases
Sinhala,49A,Number of Cases,5,5 cases
Slave,49A,Number of Cases,1,No morphological case-marking
Somali,49A,Number of Cases,3,3 cases
Koyraboro Senni,49A,Number of Cases,1,No morphological case-marking
Spanish,49A,Number of Cases,1,No morphological case-marking
Squamish,49A,Number of Cases,2,2 cases
Suena,49A,Number of Cases,4,4 cases
Supyire,49A,Number of Cases,9,Exclusively borderline case-marking
Swahili,49A,Number of Cases,1,No morphological case-marking
Swedish,49A,Number of Cases,2,2 cases
Taba,49A,Number of Cases,1,No morphological case-marking
Tagalog,49A,Number of Cases,1,No morphological case-marking
Berber (Middle Atlas),49A,Number of Cases,2,2 cases
Tati (Southern),49A,Number of Cases,2,2 cases
Thai,49A,Number of Cases,1,No morphological case-marking
Tinrin,49A,Number of Cases,1,No morphological case-marking
Tiwi,49A,Number of Cases,1,No morphological case-marking
Tlingit,49A,Number of Cases,7,8-9 cases
Toda,49A,Number of Cases,8,10 or more cases
Trumai,49A,Number of Cases,5,5 cases
Tsimshian (Coast),49A,Number of Cases,1,No morphological case-marking
Tukang Besi,49A,Number of Cases,1,No morphological case-marking
Tunica,49A,Number of Cases,9,Exclusively borderline case-marking
Turkana,49A,Number of Cases,6,6-7 cases
Turkish,49A,Number of Cases,6,6-7 cases
Tuvaluan,49A,Number of Cases,1,No morphological case-marking
Udihe,49A,Number of Cases,7,8-9 cases
Udmurt,49A,Number of Cases,8,10 or more cases
Una,49A,Number of Cases,1,No morphological case-marking
Ungarinjin,49A,Number of Cases,7,8-9 cases
Urdu,49A,Number of Cases,2,2 cases
Urubú-Kaapor,49A,Number of Cases,1,No morphological case-marking
Usan,49A,Number of Cases,9,Exclusively borderline case-marking
Vietnamese,49A,Number of Cases,1,No morphological case-marking
Wambaya,49A,Number of Cases,7,8-9 cases
Warao,49A,Number of Cases,5,5 cases
Wardaman,49A,Number of Cases,7,8-9 cases
Wari',49A,Number of Cases,1,No morphological case-marking
Washo,49A,Number of Cases,9,Exclusively borderline case-marking
Welsh,49A,Number of Cases,1,No morphological case-marking
Wichita,49A,Number of Cases,9,Exclusively borderline case-marking
Wintu,49A,Number of Cases,4,4 cases
Huitoto (Minica),49A,Number of Cases,6,6-7 cases
Yagua,49A,Number of Cases,9,Exclusively borderline case-marking
Yaqui,49A,Number of Cases,2,2 cases
Yidiny,49A,Number of Cases,7,8-9 cases
Yimas,49A,Number of Cases,9,Exclusively borderline case-marking
Yawelmani,49A,Number of Cases,6,6-7 cases
Yoruba,49A,Number of Cases,1,No morphological case-marking
Yuchi,49A,Number of Cases,9,Exclusively borderline case-marking
Yukaghir (Kolyma),49A,Number of Cases,7,8-9 cases
Yup'ik (Central),49A,Number of Cases,6,6-7 cases
Yurok,49A,Number of Cases,9,Exclusively borderline case-marking
Zoque (Copainalá),49A,Number of Cases,2,2 cases
Zulu,49A,Number of Cases,1,No morphological case-marking
Zuni,49A,Number of Cases,1,No morphological case-marking
!Xóõ,1A,Consonant Inventories,5,Large
O'odham,1A,Consonant Inventories,3,Average
Fulfulde (Adamawa),49A,Number of Cases,1,No morphological case-marking
Aizi,1A,Consonant Inventories,3,Average
Akawaio,1A,Consonant Inventories,1,Small
Albanian,1A,Consonant Inventories,3,Average
Amharic,1A,Consonant Inventories,4,Moderately large
Amo,1A,Consonant Inventories,3,Average
Andoke,1A,Consonant Inventories,1,Small
Ao,1A,Consonant Inventories,1,Small
Apinayé,1A,Consonant Inventories,1,Small
Apurinã,1A,Consonant Inventories,1,Small
Avar,1A,Consonant Inventories,5,Large
Awa Pit,1A,Consonant Inventories,1,Small
Awngi,1A,Consonant Inventories,4,Moderately large
Aymara (Central),1A,Consonant Inventories,4,Moderately large
Zande,1A,Consonant Inventories,3,Average
Azerbaijani,1A,Consonant Inventories,3,Average
Bagirmi,1A,Consonant Inventories,4,Moderately large
Bai,1A,Consonant Inventories,2,Moderately small
Qaqet,1A,Consonant Inventories,1,Small
Bakairí,1A,Consonant Inventories,2,Moderately small
Bambara,1A,Consonant Inventories,3,Average
Bandjalang (Yugumbir),1A,Consonant Inventories,1,Small
Waimaha,1A,Consonant Inventories,1,Small
Bardi,1A,Consonant Inventories,2,Moderately small
Bariba,1A,Consonant Inventories,2,Moderately small
Bashkir,1A,Consonant Inventories,4,Moderately large
Basque,1A,Consonant Inventories,3,Average
Batak (Karo),1A,Consonant Inventories,2,Moderately small
Batak (Toba),1A,Consonant Inventories,2,Moderately small
Tsova-Tush,1A,Consonant Inventories,5,Large
Bawm,1A,Consonant Inventories,3,Average
Beembe,1A,Consonant Inventories,2,Moderately small
Beja,1A,Consonant Inventories,3,Average
Bella Coola,1A,Consonant Inventories,4,Moderately large
Bengali,1A,Consonant Inventories,4,Moderately large
Berta,1A,Consonant Inventories,3,Average
Bété,1A,Consonant Inventories,3,Average
Birom,1A,Consonant Inventories,3,Average
Bisa,1A,Consonant Inventories,2,Moderately small
Bobo Madaré (Northern),1A,Consonant Inventories,3,Average
Bodo,1A,Consonant Inventories,2,Moderately small
Bororo,1A,Consonant Inventories,1,Small
Brahui,1A,Consonant Inventories,3,Average
Brao,1A,Consonant Inventories,3,Average
Nyanga,81A,"Order of Subject, Object and Verb",2,SVO
Bribri,1A,Consonant Inventories,2,Moderately small
Bru (Western),1A,Consonant Inventories,3,Average
Arapesh (Mountain),1A,Consonant Inventories,2,Moderately small
Burarra,1A,Consonant Inventories,2,Moderately small
Burmese,1A,Consonant Inventories,4,Moderately large
Burushaski,1A,Consonant Inventories,5,Large
Cacua,1A,Consonant Inventories,1,Small
Caddo,1A,Consonant Inventories,3,Average
Cahuilla,1A,Consonant Inventories,3,Average
Campa (Axininca),1A,Consonant Inventories,2,Moderately small
Camsá,1A,Consonant Inventories,3,Average
Canela,1A,Consonant Inventories,1,Small
Cantonese,1A,Consonant Inventories,3,Average
Carib,1A,Consonant Inventories,2,Moderately small
Catalan,1A,Consonant Inventories,3,Average
Cayapa,1A,Consonant Inventories,3,Average
Cayuvava,1A,Consonant Inventories,2,Moderately small
Cham (Western),1A,Consonant Inventories,3,Average
Chamorro,1A,Consonant Inventories,3,Average
Chatino (Sierra Occidental),1A,Consonant Inventories,2,Moderately small
Chehalis (Upper),1A,Consonant Inventories,4,Moderately large
Cherokee,1A,Consonant Inventories,1,Small
Chickasaw,1A,Consonant Inventories,2,Moderately small
Chin (Tiddim),1A,Consonant Inventories,3,Average
Chinantec (Quiotepec),1A,Consonant Inventories,4,Moderately large
Chinantec (Lealao),1A,Consonant Inventories,3,Average
Chipewyan,1A,Consonant Inventories,5,Large
Chuave,1A,Consonant Inventories,1,Small
Chukchi,1A,Consonant Inventories,2,Moderately small
Chuvash,1A,Consonant Inventories,3,Average
CiLuba,1A,Consonant Inventories,3,Average
Cofán,1A,Consonant Inventories,4,Moderately large
Comanche,1A,Consonant Inventories,1,Small
Coos (Hanis),1A,Consonant Inventories,5,Large
Cree (Plains),1A,Consonant Inventories,1,Small
Cubeo,1A,Consonant Inventories,1,Small
Kuna,1A,Consonant Inventories,2,Moderately small
Dadibi,1A,Consonant Inventories,1,Small
Nyishi,1A,Consonant Inventories,2,Moderately small
Daga,1A,Consonant Inventories,1,Small
Dagbani,1A,Consonant Inventories,3,Average
Dagur,1A,Consonant Inventories,3,Average
Dahalo,1A,Consonant Inventories,5,Large
Daju (Dar Fur),1A,Consonant Inventories,3,Average
Dan,1A,Consonant Inventories,3,Average
Dangaléat (Western),1A,Consonant Inventories,3,Average
Dani (Lower Grand Valley),1A,Consonant Inventories,1,Small
Darai,1A,Consonant Inventories,4,Moderately large
Dla (Proper),1A,Consonant Inventories,1,Small
Deti,1A,Consonant Inventories,5,Large
Dinka,1A,Consonant Inventories,3,Average
Diola-Fogny,1A,Consonant Inventories,3,Average
Diyari,1A,Consonant Inventories,3,Average
Dizi,1A,Consonant Inventories,3,Average
Doyayo,1A,Consonant Inventories,3,Average
Toro So,1A,Consonant Inventories,2,Moderately small
Drehu,1A,Consonant Inventories,4,Moderately large
Dyirbal,1A,Consonant Inventories,1,Small
Efik,1A,Consonant Inventories,1,Small
Ejagham,1A,Consonant Inventories,3,Average
Ekari,1A,Consonant Inventories,1,Small
English,1A,Consonant Inventories,3,Average
Epena Pedee,1A,Consonant Inventories,2,Moderately small
Even,1A,Consonant Inventories,2,Moderately small
Evenki,1A,Consonant Inventories,2,Moderately small
Ewe,1A,Consonant Inventories,4,Moderately large
Ewondo,1A,Consonant Inventories,4,Moderately large
Eyak,1A,Consonant Inventories,4,Moderately large
Persian,1A,Consonant Inventories,3,Average
Fasu,1A,Consonant Inventories,1,Small
Fe'fe',1A,Consonant Inventories,2,Moderately small
Fijian,1A,Consonant Inventories,3,Average
Finnish,1A,Consonant Inventories,2,Moderately small
French,1A,Consonant Inventories,3,Average
Fur,1A,Consonant Inventories,2,Moderately small
Fuzhou,1A,Consonant Inventories,1,Small
Fyem,1A,Consonant Inventories,5,Large
Gã,1A,Consonant Inventories,4,Moderately large
Gadsup,1A,Consonant Inventories,1,Small
Garrwa,1A,Consonant Inventories,3,Average
Garo,1A,Consonant Inventories,2,Moderately small
Gbeya Bossangoa,1A,Consonant Inventories,4,Moderately large
Gelao,1A,Consonant Inventories,4,Moderately large
Georgian,1A,Consonant Inventories,4,Moderately large
German,1A,Consonant Inventories,3,Average
Gooniyandi,1A,Consonant Inventories,3,Average
Grebo,1A,Consonant Inventories,3,Average
Greek (Modern),1A,Consonant Inventories,3,Average
Guahibo,1A,Consonant Inventories,2,Moderately small
Goajiro,1A,Consonant Inventories,1,Small
Guambiano,1A,Consonant Inventories,2,Moderately small
Kuku-Yalanji,1A,Consonant Inventories,1,Small
Gwari,1A,Consonant Inventories,3,Average
Hadza,1A,Consonant Inventories,5,Large
Haida,1A,Consonant Inventories,5,Large
Hakka,1A,Consonant Inventories,2,Moderately small
Hamtai,1A,Consonant Inventories,1,Small
Hausa,1A,Consonant Inventories,4,Moderately large
Hawaiian,1A,Consonant Inventories,1,Small
Hebrew (Modern Ashkenazic),1A,Consonant Inventories,2,Moderately small
Hindi,1A,Consonant Inventories,5,Large
Hixkaryana,1A,Consonant Inventories,2,Moderately small
Hmong Njua,1A,Consonant Inventories,5,Large
Hopi,1A,Consonant Inventories,3,Average
Aikaná,1A,Consonant Inventories,3,Average
Huastec,1A,Consonant Inventories,3,Average
Huave (San Mateo del Mar),1A,Consonant Inventories,3,Average
Hungarian,1A,Consonant Inventories,4,Moderately large
Hupa,1A,Consonant Inventories,4,Moderately large
Iaai,1A,Consonant Inventories,5,Large
Fulniô,1A,Consonant Inventories,3,Average
Iban,1A,Consonant Inventories,3,Average
Ijo (Kolokuma),1A,Consonant Inventories,3,Average
Ik,1A,Consonant Inventories,4,Moderately large
Ika,1A,Consonant Inventories,2,Moderately small
Imonda,1A,Consonant Inventories,1,Small
Indonesian,1A,Consonant Inventories,3,Average
Ingush,1A,Consonant Inventories,5,Large
Greenlandic (West),1A,Consonant Inventories,3,Average
Iranxe,1A,Consonant Inventories,3,Average
Iraqw,1A,Consonant Inventories,4,Moderately large
Irarutu,1A,Consonant Inventories,1,Small
Irish (Donegal),1A,Consonant Inventories,5,Large
Zulu,1A,Consonant Inventories,4,Moderately large
Isoko,1A,Consonant Inventories,4,Moderately large
Itelmen,1A,Consonant Inventories,4,Moderately large
Itonama,1A,Consonant Inventories,3,Average
Ivatan,1A,Consonant Inventories,3,Average
Iwam,1A,Consonant Inventories,1,Small
Jakaltek,1A,Consonant Inventories,4,Moderately large
Japanese,1A,Consonant Inventories,2,Moderately small
Japreria,1A,Consonant Inventories,1,Small
Jaqaru,1A,Consonant Inventories,5,Large
Javanese,1A,Consonant Inventories,3,Average
Jebero,1A,Consonant Inventories,3,Average
Jeh,1A,Consonant Inventories,5,Large
Jivaro,1A,Consonant Inventories,2,Moderately small
Jomang,1A,Consonant Inventories,1,Small
Ju|'hoan,1A,Consonant Inventories,5,Large
K'ekchí,1A,Consonant Inventories,3,Average
Kabardian,1A,Consonant Inventories,5,Large
Kadugli,1A,Consonant Inventories,3,Average
Kaingang,1A,Consonant Inventories,1,Small
Kala Lagaw Ya,1A,Consonant Inventories,2,Moderately small
Kalkatungu,1A,Consonant Inventories,3,Average
Dong (Southern),1A,Consonant Inventories,3,Average
Ngbaka (Ma'bo),81A,"Order of Subject, Object and Verb",2,SVO
Kashmiri,1A,Consonant Inventories,4,Moderately large
Kawaiisu,1A,Consonant Inventories,3,Average
Kayardild,1A,Consonant Inventories,2,Moderately small
Kefa,1A,Consonant Inventories,3,Average
Ket,1A,Consonant Inventories,2,Moderately small
Khanty,1A,Consonant Inventories,2,Moderately small
Kharia,1A,Consonant Inventories,4,Moderately large
Khasi,1A,Consonant Inventories,3,Average
Khmer,1A,Consonant Inventories,3,Average
Khmu',1A,Consonant Inventories,3,Average
Kilivila,1A,Consonant Inventories,3,Average
Kiowa,1A,Consonant Inventories,3,Average
Kirghiz,1A,Consonant Inventories,3,Average
Kiribati,1A,Consonant Inventories,1,Small
Kisi (Southern),1A,Consonant Inventories,2,Moderately small
Swahili,1A,Consonant Inventories,4,Moderately large
Kiwai (Southern),1A,Consonant Inventories,1,Small
Klamath,1A,Consonant Inventories,4,Moderately large
Klao,1A,Consonant Inventories,1,Small
Koasati,1A,Consonant Inventories,1,Small
Kobon,1A,Consonant Inventories,3,Average
Kohumono,1A,Consonant Inventories,4,Moderately large
Koiari,1A,Consonant Inventories,1,Small
Komo,1A,Consonant Inventories,3,Average
Komi-Zyrian,1A,Consonant Inventories,4,Moderately large
Konkani,1A,Consonant Inventories,3,Average
Konyagi,1A,Consonant Inventories,5,Large
Korean,1A,Consonant Inventories,3,Average
Koromfe,1A,Consonant Inventories,2,Moderately small
Koryak,1A,Consonant Inventories,2,Moderately small
Kota,1A,Consonant Inventories,3,Average
Kotoko,1A,Consonant Inventories,4,Moderately large
Koya,1A,Consonant Inventories,3,Average
Kpan,1A,Consonant Inventories,3,Average
Kpelle,1A,Consonant Inventories,3,Average
Krongo,1A,Consonant Inventories,3,Average
Kullo,1A,Consonant Inventories,3,Average
Kunama,1A,Consonant Inventories,3,Average
Kunimaipa,1A,Consonant Inventories,2,Moderately small
Kurdish (Central),1A,Consonant Inventories,4,Moderately large
Kurukh,1A,Consonant Inventories,3,Average
Kutenai,1A,Consonant Inventories,4,Moderately large
Kwaio,1A,Consonant Inventories,2,Moderately small
Kwakw'ala,1A,Consonant Inventories,5,Large
Kwoma,1A,Consonant Inventories,3,Average
Ladakhi,1A,Consonant Inventories,4,Moderately large
Lahu,1A,Consonant Inventories,4,Moderately large
Lak,1A,Consonant Inventories,5,Large
Lamé,1A,Consonant Inventories,4,Moderately large
Lelemi,1A,Consonant Inventories,3,Average
Lenakel,1A,Consonant Inventories,2,Moderately small
Lepcha,1A,Consonant Inventories,4,Moderately large
Lezgian,1A,Consonant Inventories,5,Large
Lithuanian,1A,Consonant Inventories,5,Large
Lua,1A,Consonant Inventories,3,Average
Lü,1A,Consonant Inventories,3,Average
Lugbara,1A,Consonant Inventories,4,Moderately large
Luiseño,1A,Consonant Inventories,3,Average
Nung (in Vietnam),1A,Consonant Inventories,3,Average
Lushootseed,1A,Consonant Inventories,5,Large
Luvale,1A,Consonant Inventories,2,Moderately small
Maasai,1A,Consonant Inventories,3,Average
Maba,1A,Consonant Inventories,3,Average
Maidu (Northeast),1A,Consonant Inventories,2,Moderately small
Malakmalak,1A,Consonant Inventories,1,Small
Mambila,1A,Consonant Inventories,3,Average
Manchu,1A,Consonant Inventories,2,Moderately small
Mangarrayi,1A,Consonant Inventories,2,Moderately small
Maori,1A,Consonant Inventories,1,Small
Mapudungun,1A,Consonant Inventories,3,Average
Maranao,1A,Consonant Inventories,1,Small
Maranungku,1A,Consonant Inventories,1,Small
Margi,1A,Consonant Inventories,4,Moderately large
Maricopa,1A,Consonant Inventories,3,Average
Marind,1A,Consonant Inventories,2,Moderately small
Martuthunira,1A,Consonant Inventories,3,Average
Wichí,1A,Consonant Inventories,3,Average
Maung,1A,Consonant Inventories,2,Moderately small
Maxakalí,1A,Consonant Inventories,1,Small
Maybrat,1A,Consonant Inventories,1,Small
Mazahua,1A,Consonant Inventories,5,Large
Mazatec (Chiquihuitlán),1A,Consonant Inventories,3,Average
Mbabaram,1A,Consonant Inventories,3,Average
Mba,1A,Consonant Inventories,3,Average
Mbum,1A,Consonant Inventories,4,Moderately large
Mien,1A,Consonant Inventories,4,Moderately large
Mixe (Totontepec),1A,Consonant Inventories,1,Small
Mixtec (Chalcatongo),1A,Consonant Inventories,2,Moderately small
Mixtec (Molinos),1A,Consonant Inventories,2,Moderately small
Moghol,1A,Consonant Inventories,3,Average
Khalkha,1A,Consonant Inventories,3,Average
Mangghuer,1A,Consonant Inventories,3,Average
Mor,1A,Consonant Inventories,1,Small
Moro,1A,Consonant Inventories,3,Average
Movima,1A,Consonant Inventories,2,Moderately small
Ignaciano,1A,Consonant Inventories,3,Average
Muinane,1A,Consonant Inventories,3,Average
Mumuye,1A,Consonant Inventories,3,Average
Mundari,1A,Consonant Inventories,4,Moderately large
Murrinh-Patha,1A,Consonant Inventories,3,Average
