time,iso,f1,f2,f3,f4,f5
2,PYF,2.0,2.0,1.0,2.0,3.0
2,ATF,2.0,2.0,1.0,2.0,3.0
2,GAB,2.0,2.0,1.0,2.0,3.0
2,GMB,2.0,2.0,1.0,2.0,3.0
2,GEO,1.0,1.0,6.0,1.0,3.0
2,DEU,7.0,2.0,4.0,3.0,3.0
2,DEU,7.0,2.0,4.0,3.0,3.0
2,GHA,2.0,2.0,1.0,2.0,3.0
2,GIB,2.0,2.0,1.0,2.0,3.0
2,GRC,2.0,2.0,0.0,0.0,0.0
2,GRL,0.0,0.0,0.0,0.0,0.0
2,GRD,2.0,2.0,2.0,3.0,3.0
2,GLP,2.0,2.0,1.0,2.0,3.0
2,GTM,2.0,2.0,1.0,2.0,3.0
2,GIN,2.0,2.0,1.0,2.0,3.0
2,GNB,2.0,2.0,1.0,2.0,3.0
2,GUY,7.0,2.0,1.0,0.0,0.0
2,HTI,2.0,2.0,1.0,2.0,3.0
2,HND,2.0,2.0,1.0,2.0,3.0
2,HKG,1.0,1.0,7.0,1.0,4.0
2,HUN,2.0,2.0,6.0,3.0,4.0
2,ISL,2.0,2.0,4.0,3.0,0.0
2,IND,2.0,2.0,2.0,3.0,3.0
2,IDN,2.0,2.0,1.0,1.0,3.0
2,IRN,1.0,1.0,6.0,1.0,3.0
2,IRQ,0.0,0.0,0.0,0.0,0.0
2,IRL,2.0,2.0,2.0,3.0,3.0
2,ISR,0.0,0.0,0.0,0.0,0.0
2,ITA,7.0,2.0,4.0,3.0,3.0
2,JAM,2.0,2.0,2.0,3.0,3.0
2,JPN,1.0,1.0,7.0,0.0,2.0
2,JOR,0.0,0.0,0.0,0.0,0.0
2,KAZ,0.0,0.0,0.0,0.0,0.0
2,KAZ,1.0,2.0,0.0,0.0,0.0
2,KEN,0.0,0.0,0.0,0.0,0.0
2,KIR,2.0,2.0,2.0,3.0,3.0
2,KOR,1.0,1.0,6.0,0.0,3.0
2,PRK,1.0,1.0,6.0,0.0,3.0
2,KWT,0.0,0.0,0.0,0.0,0.0
2,KGZ,1.0,2.0,0.0,0.0,0.0
2,LAO,2.0,2.0,0.0,0.0,0.0
2,LVA,2.0,2.0,5.0,2.0,4.0
2,LBN,1.0,1.0,6.0,1.0,3.0
2,LSO,2.0,2.0,2.0,3.0,3.0
2,LBR,2.0,2.0,2.0,3.0,3.0
2,LBY,0.0,0.0,0.0,0.0,0.0
2,LTU,0.0,0.0,0.0,0.0,0.0
2,LUX,7.0,2.0,4.0,3.0,3.0
2,MAC,1.0,1.0,7.0,1.0,4.0
2,MKD,2.0,2.0,0.0,0.0,0.0
2,MDG,2.0,2.0,1.0,2.0,3.0
2,MWI,2.0,2.0,2.0,3.0,3.0
2,MYS,0.0,0.0,0.0,0.0,0.0
2,MDV,0.0,0.0,0.0,0.0,0.0
2,MLI,2.0,2.0,1.0,2.0,3.0
2,MLT,2.0,2.0,2.0,3.0,3.0
2,MHL,2.0,2.0,2.0,3.0,3.0
2,MTQ,2.0,2.0,1.0,2.0,3.0
2,MRT,0.0,0.0,0.0,0.0,0.0
2,MUS,2.0,2.0,2.0,3.0,3.0
2,MEX,2.0,2.0,1.0,2.0,3.0
2,FSM,2.0,2.0,2.0,3.0,3.0
2,MDA,2.0,2.0,6.0,3.0,4.0
2,MNG,2.0,2.0,6.0,3.0,4.0
2,MSR,2.0,2.0,2.0,3.0,3.0
2,MAR,0.0,0.0,0.0,0.0,0.0
2,MOZ,2.0,2.0,2.0,3.0,3.0
2,NAM,2.0,2.0,2.0,3.0,3.0
2,NRU,7.0,0.0,0.0,0.0,0.0
2,NPL,1.0,1.0,0.0,0.0,4.0
2,ANT,7.0,2.0,1.0,0.0,0.0
2,NLD,7.0,2.0,4.0,3.0,3.0
2,NCL,2.0,2.0,1.0,2.0,3.0
2,NZL,2.0,2.0,2.0,3.0,3.0
2,NIC,2.0,2.0,1.0,2.0,3.0
2,NER,2.0,2.0,1.0,2.0,3.0
2,NGA,2.0,2.0,1.0,2.0,3.0
2,NGA,2.0,2.0,1.0,2.0,3.0
2,NIU,3.0,2.0,0.0,0.0,0.0
2,NFK,2.0,2.0,2.0,3.0,3.0
2,MNP,2.0,2.0,2.0,3.0,3.0
2,NOR,2.0,2.0,2.0,0.0,0.0
2,OMN,0.0,0.0,0.0,0.0,0.0
2,PAK,2.0,2.0,2.0,3.0,3.0
2,PLW,2.0,2.0,2.0,3.0,3.0
2,PAL,0.0,0.0,0.0,0.0,0.0
2,PAN,2.0,2.0,1.0,2.0,3.0
2,PNG,2.0,2.0,1.0,1.0,3.0
2,PRY,2.0,2.0,1.0,2.0,3.0
2,PER,2.0,2.0,1.0,2.0,3.0
2,PHL,2.0,2.0,2.0,3.0,3.0
2,PCN,2.0,2.0,2.0,3.0,3.0
2,POL,2.0,2.0,6.0,0.0,5.0
2,PRT,7.0,2.0,4.0,3.0,3.0
2,PRI,2.0,2.0,2.0,3.0,3.0
2,QAT,0.0,0.0,0.0,0.0,0.0
2,REU,2.0,2.0,1.0,2.0,3.0
2,ROM,2.0,2.0,2.0,0.0,3.0
2,RUS,2.0,2.0,6.0,3.0,4.0
2,RWA,2.0,2.0,2.0,3.0,3.0
2,SHN,2.0,2.0,2.0,3.0,3.0
2,KNA,2.0,2.0,2.0,3.0,3.0
2,LCA,2.0,2.0,2.0,3.0,3.0
2,VCT,2.0,2.0,2.0,3.0,3.0
2,WSM,7.0,2.0,0.0,0.0,0.0
2,SMR,7.0,2.0,4.0,3.0,3.0
2,STP,2.0,2.0,0.0,0.0,0.0
2,SAU,0.0,0.0,0.0,0.0,0.0
2,SEN,2.0,2.0,1.0,2.0,3.0
2,YUG,2.0,2.0,2.0,0.0,3.0
2,SYC,2.0,2.0,2.0,3.0,3.0
2,SLE,2.0,2.0,2.0,3.0,3.0
2,SGP,0.0,0.0,0.0,0.0,0.0
2,SVK,7.0,2.0,4.0,3.0,3.0
2,SVN,0.0,0.0,0.0,0.0,0.0
2,SLB,2.0,2.0,2.0,3.0,3.0
2,SOM,1.0,4.0,2.0,2.0,4.0
2,ZAF,2.0,2.0,2.0,3.0,3.0
2,ZAF,2.0,2.0,2.0,3.0,3.0
2,ESP,7.0,2.0,4.0,3.0,3.0
2,LKA,1.0,1.0,5.0,0.0,3.0
2,SPM,2.0,2.0,1.0,2.0,3.0
2,SDN,0.0,0.0,0.0,0.0,0.0
2,SUR,7.0,2.0,1.0,0.0,0.0
2,SWZ,7.0,0.0,0.0,0.0,0.0
2,SWE,2.0,2.0,2.0,0.0,0.0
2,CHE,7.0,2.0,4.0,3.0,3.0
2,SYR,1.0,1.0,6.0,1.0,3.0
2,TWN,0.0,0.0,0.0,0.0,0.0
2,TJK,1.0,2.0,0.0,0.0,0.0
2,TZA,2.0,2.0,2.0,3.0,3.0
2,TZA,2.0,2.0,2.0,3.0,3.0
2,THA,2.0,2.0,1.0,1.0,3.0
2,TGO,2.0,2.0,1.0,2.0,3.0
2,TKL,0.0,2.0,0.0,0.0,0.0
2,TON,7.0,2.0,0.0,0.0,0.0
2,TTO,2.0,2.0,2.0,3.0,3.0
2,TUN,0.0,0.0,0.0,0.0,0.0
2,TUR,0.0,0.0,0.0,0.0,0.0
2,TUR,1.0,1.0,6.0,1.0,3.0
2,TKM,1.0,2.0,0.0,0.0,0.0
2,TCA,2.0,2.0,2.0,3.0,3.0
2,TUV,5.0,2.0,1.0,1.0,0.0
2,UGA,2.0,2.0,2.0,3.0,3.0
2,UKR,2.0,2.0,6.0,3.0,4.0
2,ARE,0.0,0.0,0.0,0.0,0.0
2,GBR,2.0,2.0,2.0,3.0,3.0
2,USA,2.0,2.0,1.0,2.0,3.0
2,USA,2.0,2.0,1.0,2.0,3.0
2,URY,2.0,2.0,1.0,2.0,3.0
2,UZB,1.0,2.0,0.0,0.0,0.0
2,VUT,2.0,2.0,2.0,3.0,3.0
2,VEN,2.0,2.0,0.0,0.0,0.0
2,VNM,2.0,2.0,1.0,1.0,3.0
2,WLF,2.0,2.0,1.0,2.0,3.0
2,ESH,0.0,0.0,0.0,0.0,0.0
2,YEM,0.0,0.0,0.0,0.0,0.0
2,ZMB,2.0,2.0,2.0,3.0,3.0
2,ZWE,2.0,2.0,2.0,3.0,3.0
3,AFG,1.0,2.0,2.0,1.0,3.0
3,ALB,2.0,2.0,0.0,0.0,0.0
3,DZA,0.0,0.0,0.0,0.0,0.0
3,AND,7.0,2.0,4.0,3.0,3.0
3,AGO,2.0,2.0,2.0,3.0,3.0
3,AIA,2.0,2.0,2.0,3.0,3.0
3,ATG,2.0,2.0,2.0,3.0,3.0
3,ARG,2.0,2.0,1.0,2.0,3.0
3,ARM,1.0,1.0,6.0,1.0,3.0
3,ABW,7.0,2.0,1.0,0.0,0.0
3,AUS,2.0,2.0,2.0,3.0,3.0
3,AUS,2.0,2.0,2.0,3.0,3.0
3,AUT,7.0,2.0,4.0,3.0,3.0
3,AZE,1.0,1.0,6.0,1.0,3.0
3,BHS,2.0,2.0,2.0,3.0,3.0
3,BHR,0.0,0.0,0.0,0.0,0.0
3,BGD,1.0,1.0,7.0,1.0,4.0
3,BRB,2.0,2.0,2.0,3.0,3.0
3,BLR,0.0,0.0,0.0,0.0,0.0
3,BEL,7.0,2.0,4.0,3.0,3.0
3,BLZ,2.0,2.0,2.0,3.0,3.0
3,BEN,2.0,2.0,1.0,2.0,3.0
3,BEN,2.0,2.0,1.0,2.0,3.0
3,BMU,2.0,2.0,2.0,3.0,3.0
3,BTN,1.0,1.0,7.0,1.0,4.0
3,BOL,2.0,2.0,0.0,0.0,0.0
3,BOL,2.0,2.0,1.0,2.0,3.0
3,BIH,2.0,2.0,2.0,0.0,3.0
3,BWA,2.0,2.0,2.0,3.0,3.0
3,BRA,2.0,2.0,1.0,2.0,3.0
3,BRA,2.0,2.0,1.0,2.0,3.0
3,VGB,2.0,2.0,2.0,3.0,3.0
3,BRN,0.0,0.0,0.0,0.0,0.0
3,BGR,2.0,2.0,2.0,0.0,3.0
3,BFA,2.0,2.0,1.0,2.0,3.0
3,MMR,1.0,1.0,7.0,1.0,4.0
3,BDI,2.0,2.0,1.0,2.0,3.0
3,KHM,2.0,2.0,1.0,1.0,3.0
3,CMR,0.0,0.0,0.0,0.0,0.0
3,CAN,2.0,2.0,1.0,2.0,3.0
3,CAN,2.0,2.0,1.0,2.0,3.0
3,CPV,2.0,2.0,0.0,0.0,0.0
3,CYM,2.0,2.0,2.0,3.0,3.0
3,CAF,2.0,2.0,1.0,2.0,3.0
3,TCD,2.0,2.0,1.0,2.0,3.0
3,CHL,2.0,2.0,1.0,2.0,3.0
3,CHN,1.0,1.0,7.0,1.0,4.0
3,CXR,2.0,2.0,2.0,3.0,3.0
3,CCK,0.0,0.0,0.0,0.0,0.0
3,COL,2.0,2.0,0.0,0.0,0.0
3,COM,0.0,0.0,0.0,0.0,0.0
3,COG,2.0,2.0,1.0,2.0,3.0
3,ZAR,2.0,2.0,1.0,2.0,3.0
3,COK,2.0,2.0,2.0,3.0,3.0
3,CRI,2.0,2.0,1.0,2.0,3.0
3,HRV,7.0,1.0,8.0,1.0,4.0
3,CUB,2.0,2.0,1.0,2.0,3.0
3,CYP,0.0,0.0,0.0,0.0,0.0
3,CZE,7.0,2.0,4.0,3.0,3.0
3,CIV,2.0,2.0,1.0,2.0,3.0
3,CIV,2.0,2.0,1.0,2.0,3.0
3,DNK,7.0,2.0,4.0,3.0,3.0
3,DJI,1.0,4.0,2.0,2.0,4.0
3,DMA,2.0,2.0,2.0,3.0,3.0
3,DOM,2.0,2.0,1.0,2.0,3.0
3,TMP,2.0,2.0,1.0,1.0,3.0
3,ECU,2.0,2.0,1.0,2.0,3.0
3,EGY,0.0,0.0,0.0,0.0,0.0
3,SLV,2.0,2.0,1.0,2.0,3.0
3,GNQ,2.0,2.0,1.0,2.0,3.0
3,ERI,0.0,0.0,0.0,0.0,0.0
3,EST,2.0,2.0,5.0,2.0,4.0
3,ETH,1.0,4.0,2.0,2.0,4.0
3,FLK,2.0,2.0,2.0,3.0,3.0
3,FRO,0.0,0.0,0.0,0.0,0.0
3,FJI,2.0,2.0,2.0,3.0,3.0
3,FIN,2.0,2.0,2.0,0.0,0.0
3,FRA,7.0,2.0,4.0,3.0,3.0
3,GUF,2.0,2.0,1.0,2.0,3.0
3,PYF,2.0,2.0,1.0,2.0,3.0
3,ATF,2.0,2.0,1.0,2.0,3.0
3,GAB,2.0,2.0,1.0,2.0,3.0
3,GMB,2.0,2.0,1.0,2.0,3.0
3,GEO,1.0,1.0,6.0,1.0,3.0
3,DEU,7.0,2.0,4.0,3.0,3.0
3,DEU,2.0,2.0,6.0,0.0,5.0
3,GHA,2.0,2.0,1.0,2.0,3.0
3,GIB,2.0,2.0,1.0,2.0,3.0
3,GRC,2.0,2.0,0.0,0.0,0.0
3,GRL,0.0,0.0,0.0,0.0,0.0
3,GRD,2.0,2.0,2.0,3.0,3.0
3,GLP,2.0,2.0,1.0,2.0,3.0
3,GTM,2.0,2.0,1.0,2.0,3.0
3,GIN,2.0,2.0,1.0,2.0,3.0
3,GNB,2.0,2.0,1.0,2.0,3.0
3,GUY,7.0,2.0,1.0,0.0,0.0
3,HTI,2.0,2.0,1.0,2.0,3.0
3,HND,2.0,2.0,1.0,2.0,3.0
3,HKG,1.0,1.0,7.0,1.0,4.0
3,HUN,2.0,2.0,6.0,3.0,4.0
3,ISL,2.0,2.0,4.0,3.0,0.0
3,IND,2.0,2.0,2.0,3.0,3.0
3,IDN,0.0,0.0,0.0,0.0,0.0
3,IRN,1.0,1.0,6.0,1.0,3.0
3,IRQ,0.0,0.0,0.0,0.0,0.0
3,IRL,2.0,2.0,2.0,3.0,3.0
3,ISR,0.0,0.0,0.0,0.0,0.0
3,ITA,7.0,2.0,4.0,3.0,3.0
3,JAM,2.0,2.0,2.0,3.0,3.0
3,JPN,1.0,1.0,7.0,0.0,2.0
3,JOR,0.0,0.0,0.0,0.0,0.0
3,KAZ,0.0,0.0,0.0,0.0,0.0
3,KAZ,2.0,2.0,6.0,3.0,4.0
3,KEN,2.0,2.0,2.0,3.0,3.0
3,KIR,2.0,2.0,2.0,3.0,3.0
3,KOR,1.0,1.0,6.0,0.0,3.0
3,PRK,1.0,1.0,7.0,1.0,4.0
3,KWT,0.0,0.0,0.0,0.0,0.0
3,KGZ,1.0,2.0,0.0,0.0,0.0
3,LAO,2.0,2.0,0.0,0.0,0.0
3,LVA,2.0,2.0,6.0,3.0,4.0
3,LBN,1.0,1.0,6.0,1.0,3.0
3,LSO,2.0,2.0,2.0,3.0,3.0
3,LBR,2.0,2.0,2.0,3.0,3.0
3,LBY,0.0,0.0,0.0,0.0,0.0
3,LTU,0.0,0.0,0.0,0.0,0.0
3,LUX,2.0,2.0,6.0,0.0,5.0
3,MAC,1.0,1.0,7.0,1.0,4.0
3,MKD,2.0,2.0,0.0,0.0,0.0
3,MDG,2.0,2.0,1.0,2.0,3.0
3,MWI,2.0,2.0,2.0,3.0,3.0
3,MYS,0.0,0.0,0.0,0.0,0.0
3,MDV,0.0,0.0,0.0,0.0,0.0
3,MLI,2.0,2.0,1.0,2.0,3.0
3,MLT,2.0,2.0,2.0,3.0,3.0
3,MHL,2.0,2.0,2.0,3.0,3.0
3,MTQ,2.0,2.0,1.0,2.0,3.0
3,MRT,0.0,0.0,0.0,0.0,0.0
3,MUS,2.0,2.0,2.0,3.0,3.0
3,MEX,2.0,2.0,1.0,2.0,3.0
3,FSM,2.0,2.0,2.0,3.0,3.0
3,MDA,2.0,2.0,6.0,3.0,4.0
3,MNG,1.0,1.0,7.0,1.0,4.0
3,MSR,2.0,2.0,2.0,3.0,3.0
3,MAR,0.0,0.0,0.0,0.0,0.0
3,MOZ,2.0,2.0,2.0,3.0,3.0
3,NAM,2.0,2.0,2.0,3.0,3.0
3,NRU,7.0,0.0,0.0,0.0,0.0
3,NPL,2.0,2.0,2.0,3.0,3.0
3,ANT,7.0,2.0,1.0,0.0,0.0
3,NLD,7.0,2.0,4.0,3.0,3.0
3,NCL,2.0,2.0,1.0,2.0,3.0
3,NZL,2.0,2.0,2.0,3.0,3.0
3,NIC,2.0,2.0,1.0,2.0,3.0
3,NER,0.0,0.0,0.0,0.0,0.0
3,NGA,2.0,2.0,1.0,2.0,3.0
3,NGA,0.0,0.0,0.0,0.0,0.0
3,NIU,3.0,2.0,0.0,0.0,0.0
3,NFK,2.0,2.0,2.0,3.0,3.0
3,MNP,2.0,2.0,2.0,3.0,3.0
3,NOR,2.0,2.0,2.0,0.0,0.0
3,OMN,0.0,0.0,0.0,0.0,0.0
3,PAK,2.0,2.0,2.0,3.0,3.0
3,PLW,2.0,2.0,2.0,3.0,3.0
3,PAL,0.0,0.0,0.0,0.0,0.0
3,PAN,2.0,2.0,1.0,2.0,3.0
3,PNG,2.0,2.0,1.0,1.0,3.0
3,PRY,2.0,2.0,1.0,2.0,3.0
3,PER,2.0,2.0,1.0,2.0,3.0
3,PHL,2.0,2.0,2.0,3.0,3.0
